,Radix Sort & Baza 10, Radix Sort & Base 2^16, Radix Sort & Base 2^15, Merge Sort, Shell Sort, STL Sort (Intro Sort), Heap Sort, Count Sort
1000,0,1002,0,0,0,0,0,555998
11000,3002,1997,2000,4000,3000,2999,3000,552000
21000,6999,2999,3000,9004,5995,5003,5998,557000
31000,9997,3999,4000,13000,8999,8000,8999,536000
41000,13998,5000,4999,17000,13999,11000,13006,562993
51000,17999,7000,6000,22004,15000,15000,16995,545999
61000,21000,7000,5999,26000,18001,17998,20002,559998
71000,23998,8000,7999,31000,22002,17997,24000,540999
81000,28999,10000,8999,36002,24998,23987,27000,551000
91000,31966,9997,10000,41000,29000,26999,32999,566002
101000,36000,12000,11001,44999,33000,30000,37000,563000
111000,38999,12000,12000,49000,36999,34002,41000,558998
121000,43000,13000,13000,53998,39000,37001,44999,557991
131000,46999,14000,13998,55999,44000,37998,46000,557000
141000,49999,15000,15000,61998,47000,43000,49999,548000
151000,53000,16000,16000,66000,48999,46999,55000,560000
161000,57999,18000,15999,71000,54000,48999,58000,566999
171000,61999,17999,16999,75000,59000,54997,63000,548998
181000,65000,18999,19000,81000,64999,58000,69997,554000
191000,69000,19997,18998,84999,67000,58001,70999,573000
201000,73000,20999,19999,87999,71000,60000,73999,563999
211000,73999,21000,21000,94999,77001,64001,79000,563999
221000,79998,21999,22000,97999,82000,66999,82999,560999
231000,82999,23999,22997,104000,84998,69999,86999,558999
241000,83999,24000,22999,107000,84999,76000,91000,574999
251000,89998,25000,23999,113001,90000,77999,97000,564999
261000,93000,27000,25999,116999,103003,83000,99999,564998
271000,96000,27000,26998,121000,97998,83999,104000,566999
281000,100999,27999,27000,127000,103000,87999,109999,595000
291000,105000,29998,29000,132000,108000,95000,118999,580003
301000,108996,29999,29000,137000,112001,96998,116999,583999
311000,109999,30999,29998,138999,116003,98997,122999,573000
321000,113999,32999,30999,143999,123000,99999,126999,584999
331000,115000,34999,32999,150999,133000,108999,132999,584000
341000,119999,34999,32999,154000,136998,110002,136001,580999
351000,125000,38000,35999,164000,134999,116999,142000,589999
361000,127996,36999,35999,163999,153000,113998,143000,590000
371000,131000,37998,34999,168000,145999,121000,147998,579999
381000,134998,38996,36999,173999,152999,120999,154000,593999
391000,137999,39999,36999,178999,154000,128005,157993,586999
401000,138999,41000,37999,183999,160999,130999,160999,594999
411000,145999,41999,40999,190000,166000,137003,170000,596999
421000,146999,42000,43005,202998,159999,137000,170999,593000
431000,150000,44000,42001,199001,171999,138999,176999,592999
441000,151000,45999,42999,202999,174000,141000,182000,593000
451000,158001,47000,43999,208000,179999,144999,185999,603000
461000,162000,45999,44999,210999,196999,146999,191000,607000
471000,164999,45999,45000,219000,184998,147998,193000,613000
481000,165999,48999,47999,221999,185999,160001,198000,614004
491000,169999,50999,47999,223999,202999,161000,203999,613000
501000,174999,50000,48999,232000,202000,156999,209000,608999
511000,176999,51001,50999,236008,205000,168000,212999,611000
521000,180999,52999,52998,240000,211000,169999,215999,611998
531000,183999,53000,51999,242999,222999,171999,221000,615999
541000,189000,55004,54995,251000,238000,181000,225999,629999
551000,187999,56000,53000,257000,234000,183999,232000,621999
561000,192995,57000,56000,259999,232999,177999,235000,629999
571000,200999,56999,57000,265000,233999,189999,240000,615999
581000,200999,57999,58999,269999,244999,188999,244000,624999
591000,205998,60000,56999,275000,265000,198000,249000,631000
601000,212998,59999,60999,286000,256999,190999,255000,626000
611000,209999,62000,60999,283000,253000,195000,258998,628999
621000,215000,61999,61999,288999,262999,206000,261999,632000
631000,221000,62999,63000,294999,272000,212999,267000,635000
641000,222999,64998,63999,299999,266999,216000,273999,637999
651000,227002,63999,64999,304000,272997,222999,276000,633000
661000,229999,66000,65000,312000,290999,217000,281000,641000
671000,232999,66999,67999,316001,298000,226000,291000,645999
681000,235000,68000,68999,320999,295000,228002,293001,630999
691000,240999,68999,71000,325999,301000,233000,296999,636999
701000,240999,72000,70000,328999,305000,227000,304000,644999
711000,245999,70999,71999,333999,302000,238003,307000,632999
721000,251999,72999,75001,339999,447999,236999,313000,656000
731000,256997,74999,73000,345001,311000,248999,314999,643995
741000,255999,73999,74999,349000,326000,248000,329999,649000
751000,258999,78000,74000,351999,335000,240000,328000,661000
761000,263999,76999,74998,359000,330000,262000,332000,663000
771000,269998,80999,79004,368998,339000,259999,341000,684000
781000,279999,83999,83999,371000,351000,267000,345000,659999
791000,276000,82999,84001,376000,359000,270000,346000,661001
801000,276999,79998,79999,377999,342000,275999,351000,661999
811000,279000,81999,84999,383000,345999,276000,355000,669995
821000,285999,83999,82999,385999,373002,280999,358000,658999
831000,289999,89000,85001,393000,355000,285999,363000,655000
841000,292000,84999,86001,402000,361000,280998,370999,662000
851000,296000,84999,87000,401999,379997,284002,371000,672000
861000,300999,87999,87000,409999,379001,296999,378999,672999
871000,302999,89000,87000,415000,395999,293000,395999,661999
881000,307000,88999,86999,417532,396000,299999,389999,686000
891000,304999,90000,94000,423999,397999,302999,394000,683000
901000,309999,91000,91999,427000,391000,298999,403999,672000
911000,317999,91999,92000,431000,400000,310000,405000,682999
921000,320999,93999,90995,435999,454000,309000,407998,681999
931000,323999,94999,93999,443000,410999,330000,410000,675000
941000,326000,98001,95999,448000,410999,325999,414996,681999
951000,324999,97999,96999,453999,454999,329000,424000,685999
961000,332999,99000,96000,459000,445000,332999,424000,681000
971000,343003,108998,108000,479000,451000,335001,456995,714997
981000,338000,106998,102000,474000,487001,352996,501999,736999
991000,345999,112000,107999,493998,471998,344999,490999,710998
