,Radix Sort & Baza 10, Radix Sort & Base 2^16, Radix Sort & Base 2^15, Merge Sort, Shell Sort, STL Sort (Intro Sort), Heap Sort, Count Sort
10000,4996,2000,1000,4000,1999,2000,3000,-100
20000,10000,5999,3001,8998,5001,4999,5999,-100
30000,14999,6000,4999,14000,7999,7000,9999,-100
40000,20000,7999,7000,18001,12000,10998,13001,-100
50000,24999,8999,9000,23004,14997,11999,16999,-100
60000,30999,11000,9999,24999,18000,14000,19999,-100
70000,35998,13000,10999,30000,21999,16000,22999,-100
80000,39999,13999,12999,33000,26000,19001,27000,-100
90000,44000,14999,13996,39999,30000,21999,32000,-100
100000,49997,17000,16998,43999,33000,22999,33999,-100
110000,53998,18000,17999,47000,35999,25999,38000,-100
120000,60000,21000,19999,49999,39000,27999,41000,-100
130000,64999,22000,19999,56000,43999,33000,46001,-100
140000,70999,23999,23000,62000,47555,38000,50000,-100
150000,73999,26000,23998,66000,52999,38008,55998,-100
160000,77999,26994,25000,70000,57999,41000,58998,-100
170000,82999,26999,26000,74000,64000,40999,60997,-100
180000,89999,29999,28000,80000,65000,45997,66000,-100
190000,91998,30999,28999,83999,69000,49000,70999,-100
200000,98999,32999,30999,87999,75000,49999,74999,-100
210000,102999,34000,32999,93999,75999,54000,79000,-100
220000,110000,36999,34999,98999,81000,58000,82999,-100
230000,109999,37999,35000,104000,89000,61000,87000,-100
240000,118999,38999,37000,106999,90001,61000,90998,-100
250000,124999,40999,39000,111999,95000,63000,96000,-100
260000,127999,41000,41999,116999,101999,70999,100000,-100
270000,132999,43999,44000,121999,100999,68999,106000,-100
280000,135999,47000,43999,125000,107000,71999,107999,-100
290000,141000,48000,46000,130999,110999,75999,112000,-100
300000,147999,49000,47999,135999,113000,83000,118000,-100
310000,149998,51000,50000,140999,123999,82000,124000,-100
320000,159996,52000,50000,144999,135000,84001,127000,-100
330000,161000,53999,51000,150000,134999,87999,130000,-100
340000,162999,52999,52999,152999,144999,89000,136000,-100
350000,166999,54999,55999,161000,142000,94999,139999,-100
360000,177999,59000,53999,162999,149999,94000,144000,-100
370000,180999,62000,59000,175000,150002,97000,153000,-100
380000,193999,67000,62000,175000,159999,99000,155000,-100
390000,192000,62999,59003,179000,160000,103000,159000,-100
400000,191999,65000,63000,183000,172999,110000,172000,-100
410000,196999,67000,63000,189000,173000,107000,174000,-100
420000,217000,68000,68999,201000,173999,114000,174000,-100
430000,212999,73000,71999,198000,174000,115000,176000,-100
440000,215999,74000,67000,202000,186000,122000,181000,-100
450000,217998,71000,70999,209000,189000,124000,185999,-100
460000,228000,74000,72000,212000,196999,126000,191001,-100
470000,228999,74999,75000,218000,192000,130000,193000,-100
480000,232999,74999,72999,221000,210999,127000,200000,-100
490000,240999,79000,79000,230000,200999,132999,207000,-100
500000,244999,79000,81000,232000,208999,136000,207000,-100
510000,252999,80999,85021,245999,229000,137999,219000,-100
520000,261000,86000,84001,246999,227000,142999,222999,-100
530000,259999,86000,88000,255000,240000,145000,220999,-100
540000,265000,85000,83000,251000,232000,147001,230999,-100
550000,268998,91000,89000,255000,232999,146000,249000,-100
560000,271998,89999,84996,258999,239999,151999,234000,-100
570000,278998,89000,91000,271997,252000,158000,239998,-100
580000,279000,90999,94000,269997,253000,156999,246000,-100
590000,292999,99000,95000,277000,352000,159000,250999,-100
600000,294999,96000,92000,282000,258000,166000,255999,-100
610000,299999,101000,98000,286000,262999,166999,259000,-100
620000,301999,97000,98001,290000,271998,163999,265999,-100
630000,310999,100432,102000,297000,271000,177999,273999,-100
640000,315998,100998,100000,299000,316999,185000,275999,-100
650000,315995,108000,100999,302999,278999,185000,277000,-100
660000,320999,106000,108000,307000,291000,193999,287000,-100
670000,328999,111000,100999,313000,299999,181000,287997,-100
680000,330000,111000,105000,322000,326999,189999,292999,-100
690000,338000,109411,104999,323999,323000,187999,299999,-100
700000,342999,111000,107999,331998,326000,192998,304000,-100
710000,350000,114999,115000,337000,310000,199999,307999,-100
720000,352999,117000,113999,342999,344999,202999,316999,-100
730000,359999,118000,115000,351000,325998,209000,318999,-100
740000,364999,122999,112999,352000,321999,201000,324999,-100
750000,369994,118000,115000,358000,331000,205998,327999,-100
760000,374999,119999,122999,355999,347000,215000,334999,-100
770000,380999,122999,117999,366004,355000,220000,338998,-100
780000,383999,124000,120000,371999,366000,219000,342999,-100
790000,387999,122999,125999,372000,378999,226999,350999,-100
800000,392999,126456,125999,378000,382000,222999,351999,-100
810000,401999,128000,124000,388000,374999,228000,359000,-100
820000,399999,135999,130000,390999,428000,240999,365000,-100
830000,403999,140000,128999,396999,367999,239000,373000,-100
840000,414999,140000,132000,400000,373999,233998,371000,-100
850000,414000,143000,134999,405000,402998,243000,376998,-100
860000,425000,135000,137000,409999,401998,239999,386999,-100
870000,425999,138000,134000,414000,384999,241999,390999,-100
880000,435999,141000,138999,419999,420001,247999,391999,-100
890000,441999,147000,136999,426999,419999,256998,399999,-100
900000,437000,145000,149000,430000,429999,253999,407999,-100
910000,450999,147000,142999,436000,422998,266999,408001,-100
920000,455999,155999,143000,439999,448998,260999,413000,-100
930000,461999,147999,148999,446000,440998,265999,418999,-100
940000,454999,150000,152000,452999,437999,265998,422000,-100
950000,462999,155000,149000,454998,440999,271999,428999,-100
960000,474999,152999,154004,456999,486999,274999,433998,-100
970000,477999,157000,155999,464999,462999,284998,440999,-100
980000,487999,157000,160999,468999,480999,274997,442998,-100
990000,495999,163999,159000,472998,462999,289998,452998,-100
1000000,499999,162999,158000,486000,482990,279999,451999,-100
1010000,488999,166000,160000,485998,485998,286000,456000,-100
1020000,504461,168000,161999,495999,482999,290997,467999,-100
1030000,519000,170999,163000,494000,486998,292999,472998,-100
1040000,508999,169439,164000,494999,510999,292999,472999,-100
1050000,508998,168999,165999,501999,613999,308999,480998,-100
1060000,528999,167999,169000,510000,508999,306999,489999,-100
1070000,526000,174999,174999,512999,498999,313998,491999,-100
1080000,536000,175000,171999,517998,527999,311999,492999,-100
1090000,533449,178999,170999,524999,506999,308999,495998,-100
1100000,540000,180000,183448,528999,507999,332999,502998,-100
1110000,536000,178999,176999,534998,527999,328998,506999,-100
1120000,555000,187999,180999,539999,556999,323999,526998,-100
1130000,548999,180000,178000,544000,560999,322999,514997,-100
1140000,564999,185000,181999,550000,559000,336999,520999,-100
1150000,568999,186000,192999,557998,565999,331997,526998,-100
1160000,570999,192000,188000,564999,563999,340999,533999,-100
1170000,583999,193000,182998,569999,580997,335010,540999,-100
1180000,577999,189999,184999,573998,788999,342999,545996,-100
1190000,580999,205000,190000,580000,583998,340999,570999,-100
1200000,585999,199000,191000,582999,611998,340999,563997,-100
1210000,589999,198000,197000,588000,585999,354999,558000,-100
1220000,597999,201000,193998,589999,584998,353999,570998,-100
1230000,601999,205999,194999,594999,594999,354999,568999,-100
1240000,611999,201000,197997,597998,610998,355995,580999,-100
1250000,617999,202000,197000,601998,612998,371999,586999,-100
1260000,613999,205000,201999,609999,642999,363998,601998,-100
1270000,622999,204999,202000,613998,664999,368999,605999,-100
1280000,626999,211000,198000,617999,747999,365999,605004,-100
1290000,624999,214999,208999,624997,651999,374999,604999,-100
1300000,635000,212000,212001,630003,638000,380996,609999,-100
1310000,640999,214000,209999,632999,651998,379998,618999,-100
1320000,644000,216000,207999,659998,675859,392867,678706,-100
1330000,679293,242842,233220,672170,654733,406768,669053,-100
1340000,681977,247756,229453,661093,704306,392106,656930,-100
1350000,662677,226760,236695,679977,702178,406510,673999,-100
1360000,678000,221000,214998,656000,718998,397998,641998,-100
1370000,676999,232000,217999,669000,703000,412999,652999,-100
1380000,687999,222999,221000,671999,745995,404998,646999,-100
1390000,685999,229000,222000,681997,699006,412046,653999,-100
1400000,693999,232000,224998,680000,687999,406999,663999,-100
1410000,690000,232000,222999,694999,707999,429000,678999,-100
1420000,703999,235999,225998,695998,700998,429999,674999,-100
1430000,712999,239000,228999,698998,718998,429002,674998,-100
1440000,708999,238000,227996,704999,802000,426000,692999,-100
1450000,706999,249000,231000,709999,843998,430998,688999,-100
1460000,711997,250000,224999,713999,723998,435999,697999,-100
1470000,722999,245000,237999,717998,760998,430999,714999,-100
1480000,717999,250000,230000,720002,727998,426999,702998,-100
1490000,729999,249000,229999,729999,747001,440998,714998,-100
1500000,737000,254999,236999,728999,749999,450999,727999,-100
1510000,736999,247000,235997,737998,807999,446996,749999,-100
1520000,753000,261000,238000,744998,818995,448998,728998,-100
1530000,748999,252000,250000,748998,761999,455998,739999,-100
1540000,748999,262000,251997,752000,789999,467998,739998,-100
1550000,756999,258000,251000,757998,807999,454996,757999,-100
1560000,765998,258000,246998,758998,830997,479999,751999,-100
1570000,776000,266000,250997,768998,828999,463999,768999,-100
1580000,774999,265001,252000,769000,853999,478999,776999,-100
1590000,776000,268000,253999,796999,797000,464999,819023,-100
1600000,787999,270998,253999,783999,901999,464998,789998,-100
1610000,785000,263000,262000,795999,790999,471999,783999,-100
1620000,789999,286001,
